City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
241,Boundiali,CI,2022-05-22 05:01:56,9.5217,-6.4869,71.8,91,99,7.43,overcast clouds
242,Natitingou,BJ,2022-05-22 05:01:57,10.3042,1.3796,72.64,80,95,4.54,overcast clouds
243,Vao,NC,2022-05-22 05:01:59,-22.6667,167.4833,73.94,86,65,24.7,broken clouds
244,Sechura,PE,2022-05-22 05:02:01,-5.5569,-80.8222,66.13,80,88,14.56,overcast clouds
245,Carnarvon,AU,2022-05-22 05:02:07,-24.8667,113.6333,76.28,60,13,22.35,few clouds
246,Geraldton,AU,2022-05-22 05:02:14,-28.7667,114.6,66.61,82,100,36.82,light rain
247,Smoky Lake,CA,2022-05-22 04:58:42,54.1169,-112.4686,50.72,27,47,3.44,scattered clouds
248,Inhambane,MZ,2022-05-22 05:02:17,-23.865,35.3833,69.58,94,100,9.91,moderate rain
249,North Bend,US,2022-05-22 05:02:18,43.4065,-124.2243,51.85,100,38,1.99,scattered clouds
250,Hurghada,EG,2022-05-22 05:02:19,27.2574,33.8129,76.21,38,14,28.12,few clouds
251,Port Macquarie,AU,2022-05-22 05:02:19,-31.4333,152.9167,58.89,100,100,5.75,light rain
252,Kharp,RU,2022-05-22 05:02:20,66.8014,65.8081,35.53,59,100,14.61,overcast clouds
253,Shubarshi,KZ,2022-05-22 05:02:20,48.5872,57.1869,51.62,46,7,12.93,clear sky
254,Beringovskiy,RU,2022-05-22 05:02:21,63.05,179.3167,38.01,82,100,9.4,overcast clouds
255,Avarua,CK,2022-05-22 04:58:39,-21.2078,-159.775,77.05,83,75,3.44,broken clouds
256,Sandwick,GB,2022-05-22 05:02:22,60.0,-1.25,49.82,93,100,8.05,light rain
257,Rio Gallegos,AR,2022-05-22 05:02:22,-51.6226,-69.2181,39.31,59,75,19.26,broken clouds
